name,domain,url,home_title,description,services_guess,address_guess,emails,phones,pages_crawled,total_text_chars,images_referenced,assets_downloaded,asset_size_mb,crawl_errors,crawl_seconds
aawi treuhand ag,aawi.ch,https://www.aawi.ch/,aawi treuhand ag - Seit 1989 - Ihr Treuhand-Partner im Zürcher Oberland,"aawi treuhand ag in Wetzikon Treuhandfirma mit dem Hauptfokus Steuerberatung, Online-/Buchhaltung und Unternehmensberatung.",im Zürcher Oberland | Vertrauen als Basis | Business Software Bexio | Wir über uns | Geschäftsleitung | Das Team,,"a.scherrer@aawi.ch, c.stuermer@aawi.ch, info@aawi.ch, m.kraehenbuehl@aawi.ch","+41 (0)44 931 35 35, +41 (0)44 931 35 38, +41 44 931 35 35, 044 931 35 35",11,59426,44,51,2.84,0,53.1
Accuratus Treuhand,accuratus-treuhand.ch,https://accuratus-treuhand.ch/,"Accuratus Treuhand Zürich · Finanz- und Rechnungswesen, Steuerberatung, Wirtschaftsprüfung/Revision Treuhandbüro/Treuhänder in Zürich.","Accuratus Treuhand – Ihr Partner für  Finanz- und Rechnungswesen, Steuerberatung, Wirtschaftsprüfung/Revision in Zürich.",Ihr Kontakt zu uns | Professionalität mit Gütesiegel | Unsere Dienstleistungen | Finanz- und Rechnungswesen | Steuerberatung | Online-/Web-Treuhand,,"info@campfire.ch, mail@accuratus-treuhand.ch, mail@quintessentia-treuhand.ch, photo@georgeberle.ch, photo@georgeberle.ch​","+41 (0)76 426 66 34, +41 (0)79 422 77 15, +41 (0)79 635 55 48, +41 44 404 70 16, +41 79 769 7252, 044 404 70 16",13,77646,59,24,0.95,0,21.9
aurora treuhand ag,aurora-treuhand.ch,https://www.aurora-treuhand.ch/,Treuhandbüro - Küsnacht ZH - aurora treuhand ag – Home,"Herzlich willkommen bei aurora treuhand ag, Ihr Treuhandbüro für Steuerberatung, Erbrecht sowie Rechnungs- und Finanzwesen in der Region Meilen.",Ihr Treuhandbüro für Steuerberatung und Erbrecht,,"aurora.ag@bluewin.ch, info@aurora-treuhand.ag, info@aurora-treuhand.ch","044 492 41 75, 044 492 41 92",6,20804,29,13,0.69,0,9.8
Budliger Treuhand AG,budliger.ch,https://budliger.ch/,Budliger Treuhand AG ZÃ¼rich Steuerberatung WirtschaftsprÃ¼fung,Umfassende Betreuung und UnterstÃ¼tzung in allen Treuhandfragen. Â«Ihnen dienen zu dÃ¼rfenÂ» â dieser Leitsatz begleitet uns seit unserer GrÃ¼ndung.,Seit 1942 | So kÃ¶nnen wir Sie unterstÃ¼tzen | Budliger News | Unsere Werte: Verbundenheit und Kompetenz | AdRem | FÃ¼hrungswechsel bei Budliger Treuhand AG,,", Claire.Karrer@budliger.ch, alisa.asani@budliger.ch, alketa.neziraj@budliger.ch, beat.braendli@budliger.ch, bernhard.bingisser@budliger.ch, bruno.olic@budliger.ch, carmen.ott@budliger.ch, chiara.krebs@budliger.ch, christian.affolter@budliger.ch, claude.rohrer@budliger.ch, corinne.waeber@budliger.ch, cornelia.schmid@budliger.ch, dominik.puseljic@budliger.ch, elisabeth.giansiracusa@budliger.ch, esther.todaro@budliger.ch, fernando.zodel@budliger.ch, flurina.sialm@budliger.ch, fortunat.sigrist@budliger.ch, hans.scherrer@budliger.ch, hanspeter.kaufmann@budliger.ch, jeannine.courret@budliger.ch, karunya.jeganathan@budliger.ch, lucie.wangyimba@budliger.ch, mail@budliger.ch, maurice.gremlich@budliger.ch, micha.hurni@budliger.ch, nadina.moser@budliger.ch, noah.schreiber@budliger.ch, petra.benker@budliger.ch, philipp.bachmann@budliger.ch, raphael.widmer@budliger.ch, rhia.schoenfeld@budliger.ch, robert.rosenblatt@budliger.ch, roland.stoeckli@budliger.ch, silvan.fuhrer@budliger.ch, stefan.forster@budliger.ch, tanja.toniazzo@budliger.ch, thomas.schueepp@budliger.ch, tom.lawson@budliger.ch, tsering.berndt@budliger.ch, vanessa.bucher@budliger.ch, zafer.celik@budliger.ch","+41 44 289 45 45, +41 44 289 45 54",70,262663,718,281,50.67,0,193.2
Divisia Treuhand AG,divisia-treuhand.ch,https://divisia-treuhand.ch/,Treuhand & Steuerberatung Zürich Wallisellen: Divisia Treuhand AG,"Divisia Treuhand AG: Treuhand, Steuerberatung, Revision in der Region Zürich Wallisellen. Umfassend, ganzheitlich und partnerschaftlich. Kontakt 044 811 00 99",Wir bieten Ihnen Unterstützung in folgenden Bereichen: | Papierlose Buchhaltung für smarte Unternehmen | Digitaler Treuhänder | Unsere Insights. Ihr Mehrwert. | Testimonials | Treuhand,,,"+41 (0)44 811 00 90, +41 (0)44 811 00 91",38,97122,326,134,16.65,0,157.1
"Dr. Iten, Dudli + Partner",idp-treuhand.ch,https://idp-treuhand.ch/,"Dr. Iten, Dudli + Partner Steuerberatung und Treuhand AG","Ihr starker Partner für Steuern, Erbschaftsberatung, Willensvollstreckung, Nachfolgeregelung und Firmengründung in Zürich Nord. Seit bald 30 Jahren.",Privatpersonen | Immobilien | Willensvollstreckung in fünf Phasen | Kommentar zur Haftung des Willensvollstreckers | Mitgliedschaften | Rezensionen,,"%20info@idp-treuhand.ch%20, info@idp-treuhand.ch, info@idp-treuhand.ch%20, mi@idp-treuhand.ch","+41 44 308 25 50, 044 308 25 50",66,388585,590,253,49.01,0,262.7
Global-Treuhand GmbH,global-treuhand.ch,https://www.global-treuhand.ch/,Buchführung - Ihr Partner in Wallisellen - Global-Treuhand GmbH,"Wir fokussieren uns auf die Buchführung für kleine bis mittlere Unternehmen in Kloten & Umgebung. Wenn Sie zufrieden sind, sind wir es auch.",Herzlich willkommen | KERNTEAM | Das sagen unsere Kunden,,"info@global-treuhand.ch, info@globaltreuhand.ch","+41 44 523 69 99, 044 523 69 99, 044 880 1000, 076 302 72 08",8,40426,14,13,1.51,0,24.0
Hermann Treuhand,hermanntreuhand.ch,https://hermanntreuhand.ch/,"Hermann Treuhand, Winterthur | Buchhaltung, Steuern, Unternehmensberatung","Wir betreuen, beraten und unterstützen Sie bei Ihrer unternehmerischen Tätigkeit als verlässlicher Treuhandpartner für KMU-Betriebe und Privatpersonen.",Willkommen bei Hermann Treuhand,,"info@hermanntreuhand.ch, t.hermann@hermanntreuhand.ch","+41 (0)52 246 04 26, +41 52 246 04 26, +41 52 246 04 27, 052 246 04 26",33,47918,92,40,2.98,0,53.0
HMR Partner Treuhand AG,hmrpartner.ch,https://hmrpartner.ch/,HMR Partner Treuhand AG,"HMR PARTNER TREUHAND AG - Neue Jonastrasse 79 - 8640 Rapperswil - Finanz-Controlling, Steuern und Recht, Nachfolge-Regelung, Wirtschaftsprüfung, Treuhand Rapper",Portrait | Angebot | Mitglied | Standort | Kontakt | Impressum,,karin.baumgartner@hmrpartner.ch,"055 222 77 00, 055 222 77 70",1,6844,8,26,4.24,0,11.8
Interconsulta,interconsulta.ch,https://www.interconsulta.ch/,"Interconsulta | Treuhand, Revisionen, Steuerberatung ZÃ¼rich","Willkommen bei Interconsulta in ZÃ¼rich. Wir sind Ihr Partner fÃ¼r Treuhand, Revisionen, Steuerberatung, Buchhaltung, Unternehmensberatung und Mehrwertsteuer.",Kompetente Beratung im jeweiligen Spezialgebiet. | PersÃ¶nliche Beratung | Obligationenrechtliche Revision | Steuerberatung | UnternehmensfÃ¼hrung | Wirtschaftsberatung,,info@interconsulta.ch,"+41 41 711 70 70, +41 44 360 30 40",7,42601,16,7,3.0,0,4.5
KMU Treuhandexperte GmbH,kmu-trex.ch,https://www.kmu-trex.ch/,Finanzbuchhaltung / Lohnwesen / Steuerberatung | Thalwil | KMU Treuhandexperte GmbH,"Die KMU Treuhandexperte GmbH ist Ihr Ansprechpartner am linken Zürichseeufer, wenn es um Steuerberatungen, Ihre Finanzbuchhaltung, das Lohnwesen und Firmengründungen geht.: Home",Individuell und zielgerichtet | Kontakt | Finanzbuchhaltung | Lohnwesen | Steuerberatung | Firmengründungen,,"info@kmu-trex.ch, mk@kmu-trex.ch",044 536 12 65,67,58076,239,246,42.3,0,235.4
kmuTREUHAND,kmutreuhand.com,https://www.kmutreuhand.com/,"Treuhand, Buchhaltung & Steuerberatung für KMUs | kmuTREUHAND","kmuTREUHAND Schweiz GmbH in Steffisburg – Ihr Partner für Treuhand, Buchhaltung, Steuerberatung, Lohnbuchhaltung & Firmengründung. Effiziente Finanzlösungen für KMU in Thun & Bern. Kompetenz, Innovation und Vertrauen in allen Angelegenheiten rund um Treuhand und Steuerberatung in der Region Thun.",Treuhand ist mehr als Vertrauenssache | Keine Zeit für Zahlen? | Lernen Sie uns kennen | Stimmen unserer Kunden | Noch viele Fragen und zu wenig Antworten? | Kontaktformular,Bernstrasse 134 3613 Steffisburg,"anna.reinhard@kmutreuhand.com, info@express-design.ch, info@kmutreuhand.com, monika.manco@kmutreuhand.com","+41 33 550 01 62, +41 79 345 57 54, 033 550 01 62, 033 550 01 63, 033 553 08 83, 033 550 01 62, 079 345 57 54, 079 345 57 54",200,291185,1606,18,0.63,0,1000.9
